full_context,answer,grade,split
"Most mice in the wild are eaten or die before their life span of two years is over. They die from external causes, such as disease, starvation, or predators, not due to internal causes, such as aging. That is why nature has made mice to live, on average, for no longer than two years. Now we have arrived at an important point: The average life span of an animal species, or the rate at which it ages, is determined by the average time that this animal species can survive in the wild. That explains why a bat can live to be 30 years old. In contrast to mice, bats can fly, which is why they can escape from danger much faster. Thanks to their wings, bats can also cover longer distances and are better able to find food. Every genetic change in the past that made it possible for a bat to live longer was useful, because bats are much better able than mice to flee from danger, find food, and survive.",2,2,train
"In the Indian language of pali, mettā means benevolence, kindness or tenderness. It is one of the most important ideas in Buddhism. Buddhism recommends a daily ritual meditation (known as mettā bhāvanā) to foster this attitude. The meditation begins with a call to think carefully every morning of an individual with whom one tends to get irritated or to whom one feels aggressive or cold and—in place of one’s normal hostile impulses—to rehearse kindly messages like ‘I hope you will find peace’ or ‘I wish you to be free from suffering’. This practice can be extended outwards ultimately to include pretty much everyone on Earth. The background assumption is that, with the right stimulus, our feelings towards people are not fixed and unalterable, but open to deliberate change and improvement. Compassion is a learnable skill, and we need to direct it as much towards those we are tempted to dismiss and detest as to those we love.",3,3,train
"A musical score within any film can add an additional layer to the film text, which goes beyond simply imitating the action viewed. In films that tell of futuristic worlds, composers, much like sound designers, have added freedom to create a world that is unknown and new to the viewer. However, unlike sound designers, composers often shy away from creating unique pieces that reflect these new worlds and often present musical scores that possess familiar structures and cadences. While it is possible that this may interfere with creativity and a sense of space and time, it in fact aids in viewer access to the film. Through recognizable scores, visions of the future or a galaxy far, far away can be placed within a recognizable context. Such familiarity allows the viewer to be placed in a comfortable space so that the film may then lead the viewer to what is an unfamiliar, but acceptable vision of a world different from their own.",2,3,train
"We understand that the segregation of our consciousness into present, past, and future is both a fiction and an oddly self-referential framework; your present was part of your mother’s future, and your children’s past will be in part your present. Nothing is generally wrong with structuring our consciousness of time in this conventional manner, and it often works well enough. In the case of climate change, however, the sharp division of time into past, present, and future has been desperately misleading and has, most importantly, hidden from view the extent of the responsibility of those of us alive now. The narrowing of our consciousness of time smooths the way to divorcing ourselves from responsibility for developments in the past and the future with which our lives are in fact deeply intertwined. In the climate case, it is not that we face the facts but then deny our responsibility. It is that the realities are obscured from view by the partitioning of time, and so questions of responsibility toward the past and future do not arise naturally.",5,3,train
"In both the arts and the sciences, an aesthetics of simplicity facilitates the precise communication of messages. Both are also fairly systematic. Although many people believe that art is by definition wild and intuitive, while only science is methodologically disciplined, there is a great deal of evidence—including from artists talking about their own practices—to suggest that art is often created methodically and systematically, and that frameworks and forms permit creativity to flow. Instead of being liberating, freedom without limits is almost paralysing, because without frameworks we end up in a vacuum in which our actions generate no response. As the Danish poet and filmmaker Jørgen Leth has put it many times, ‘the rules of the game’ are a prerequisite for artistic freedom. They provide a solid form or structure that enables the artist to make use of ‘the gifts of chance’ (to use Leth’s expression), and in which a part of the world can be exhibited in a non­chaotic manner. In order to create beauty, the artist must restrict him­ or herself.",1,3,train
"Coincidence that is statistically impossible seems to us like an irrational event, and some define it as a miracle. But, as Montaigne has said, “the origin of a miracle is in our ignorance, at the level of our knowledge of nature, and not in nature itself.” Glorious miracles have been later on discovered to be obedience to the laws of nature or a technological development that was not widely known at the time. As the German poet, Goethe, phrased it: “Things that are mysterious are not yet miracles.” The miracle assumes the intervention of a “higher power” in its occurrence that is beyond human capability to grasp. Yet there are methodical and simple ways to “cause a miracle” without divine revelation and inspiration. Instead of checking it out, investigating and finding the source of the event, we define it as a miracle. The miracle, then, is the excuse of those who are too lazy to think.",1,2,train
"That people need other people is hardly news, but for Rousseau this dependence extended far beyond companionship or even love, into the very process of becoming human. Rousseau believed that people are not born but made, every individual a bundle of potentials whose realization requires the active involvement of other people. Self-development is a social process. Self-sufficiency is an impossible fantasy. Much of the time Rousseau wished passionately that it were not: Robinson Crusoe was a favorite book, and he yearned to be free from the pains and uncertainties of social life. But his writings document with extraordinary clarity the shaping of the individual by his emotional attachments. “Our sweetest existence is relative and collective, and our true self is not entirely within us.” And it is kindness―which Rousseau analyzed under the rubric of pitié, which translates as “pity” but is much closer to “sympathy” as Hume and Smith defined it―that is the key to this collective existence.",3,3,train
"A good many scientists and artists have noticed the universality of creativity. At the Sixteenth Nobel Conference, held in 1980, scientists, musicians, and philosophers all agreed, to quote Freeman Dyson, that “the analogies between science and art are very good as long as you are talking about the creation and the performance. The creation is certainly very analogous. The aesthetic pleasure of the craftsmanship of performance is also very strong in science.” A few years later, at another multidisciplinary conference, physicist Murray Gell-Mann found that “everybody agrees on where ideas come from. We had a seminar here, about ten years ago, including several painters, a poet, a couple of writers, and the physicists. Everybody agrees on how it works. All of these people, whether they are doing artistic work or scientific work, are trying to solve a problem.”",4,2,train
"The elements any particular animal needs are relatively predictable. They are predictable based on the past: what an animal’s ancestors needed is likely to be what that animal also needs. Taste preferences, therefore, can be hardwired. Consider sodium (Na). The bodies of terrestrial vertebrates, including those of mammals, tend to have a concentration of sodium nearly fifty times that of the primary producers on land, plants. This is, in part, because vertebrates evolved in the sea and so evolved cells dependent upon the ingredients that were common in the sea, including sodium. To remedy the difference between their needs for sodium and that available in plants, herbivores can eat fifty times more plant material than they otherwise need (and eliminate the excess). Or they can seek out other sources of sodium. The salt taste receptor rewards animals for doing the latter, seeking out salt in order to satisfy their great need.",1,2,train
"Literature can be helpful in the language learning process because of the personal involvement it fosters in readers. Core language teaching materials must concentrate on how a language operates both as a rule-based system and as a sociosemantic system. Very often, the process of learning is essentially analytic, piecemeal, and, at the level of the personality, fairly superficial. Engaging imaginatively with literature enables learners to shift the focus of their attention beyond the more mechanical aspects of the foreign language system. When a novel, play or short story is explored over a period of time, the result is that the reader begins to ‘inhabit’ the text. He or she is drawn into the book. Pinpointing what individual words or phrases may mean becomes less important than pursuing the development of the story. The reader is eager to find out what happens as events unfold; he or she feels close to certain characters and shares their emotional responses. The language becomes ‘transparent’―the fiction draws the whole person into its own world.",5,3,train
